scenario,method,shift_strength,seed,alarm,selected_group,selected_bin,selected_abs_gap,selected_local_ess,selected_radius,selected_is_planted_group,n_search_cells
planted,split_search_naive,0.8,17,True,x0>1,"[0.00, 0.14]",0.8780619879648232,1.0823483895948893,1.17639444100864,False,577
planted,split_search_certified,0.8,17,False,x0>1,"[0.00, 0.14]",0.8780619879648232,1.0823483895948893,1.17639444100864,False,577
null,same_data_search,0.8,18,True,x4>1,"[0.43, 0.57]",0.42921700452710376,7.5202512339866106,0.7765030826108272,False,434
null,full_family_simultaneous,0.8,18,False,x4>1,"[0.43, 0.57]",0.42921700452710376,7.5202512339866106,0.7765030826108272,False,434
null,split_search_naive,0.8,18,True,x4>1.5,"[0.43, 0.57]",0.5150985554432281,1.0,1.2238734153404083,False,425
null,split_search_certified,0.8,18,False,x4>1.5,"[0.43, 0.57]",0.5150985554432281,1.0,1.2238734153404083,False,425
planted,same_data_search,0.8,18,True,x2>2,"[0.00, 0.14]",0.8685199923539716,2.3353847221424044,1.393413909773123,False,434
planted,full_family_simultaneous,0.8,18,True,x0>0.5 & x1>0.5,"[0.14, 0.29]",0.7251533515003245,22.014327680749208,0.4538440495106346,False,434
planted,split_search_naive,0.8,18,True,x4>0.5,"[0.00, 0.14]",0.8612708144658912,1.5892765326118161,0.9708156437511616,False,425
planted,split_search_certified,0.8,18,False,x4>0.5,"[0.00, 0.14]",0.8612708144658912,1.5892765326118161,0.9708156437511616,False,425
null,same_data_search,0.8,19,True,x5>2,"[0.43, 0.57]",0.5594953733867749,1.0174886351325882,2.1468614507005777,False,592
null,full_family_simultaneous,0.8,19,False,x5>2,"[0.43, 0.57]",0.5594953733867749,1.0174886351325882,2.1468614507005777,False,592
null,split_search_naive,0.8,19,True,x0>1 & x3>1,"[0.57, 0.71]",0.36734958474433066,1.0,1.2238734153404083,False,582
null,split_search_certified,0.8,19,False,x0>1 & x3>1,"[0.57, 0.71]",0.36734958474433066,1.0,1.2238734153404083,False,582
planted,same_data_search,0.8,19,True,x0>0.5 & x1>0.5,"[0.29, 0.43]",0.6468568987840645,2.619685889907224,1.3379632688527408,False,592
planted,full_family_simultaneous,0.8,19,False,x0>0.5 & x1>0.5,"[0.29, 0.43]",0.6468568987840645,2.619685889907224,1.3379632688527408,False,592
planted,split_search_naive,0.8,19,True,x0>1,"[0.14, 0.29]",0.37292256430379106,7.892332522006858,0.4356460833239808,False,582
planted,split_search_certified,0.8,19,False,x0>1,"[0.14, 0.29]",0.37292256430379106,7.892332522006858,0.4356460833239808,False,582
null,same_data_search,0.8,20,True,x4<-1,"[0.57, 0.71]",0.5870217514250644,1.6389596861883715,1.6912441339493804,False,590
null,full_family_simultaneous,0.8,20,False,x4<-1,"[0.57, 0.71]",0.5870217514250644,1.6389596861883715,1.6912441339493804,False,590
null,split_search_naive,0.8,20,False,x0>1 & x2>1,"[0.00, 0.14]",0.06572077226146283,2.393365218336826,0.7911011459038154,False,579
null,split_search_certified,0.8,20,False,x0>1 & x2>1,"[0.00, 0.14]",0.06572077226146283,2.393365218336826,0.7911011459038154,False,579
planted,same_data_search,0.8,20,True,x0>1 & x2>1,"[0.00, 0.14]",0.9047754105042078,3.1964738644604918,1.2110298835420497,False,590
planted,full_family_simultaneous,0.8,20,False,x0>1 & x2>1,"[0.00, 0.14]",0.9047754105042078,3.1964738644604918,1.2110298835420497,False,590
planted,split_search_naive,0.8,20,False,x0>0.5 & x1>0.5,"[0.00, 0.14]",0.1038140497091184,1.0,1.2238734153404083,False,579
planted,split_search_certified,0.8,20,False,x0>0.5 & x1>0.5,"[0.00, 0.14]",0.1038140497091184,1.0,1.2238734153404083,False,579
null,same_data_search,0.8,21,True,x0>1 & x3>1,"[0.71, 0.86]",0.74307809604744,1.0,2.1674858383462174,False,602
null,full_family_simultaneous,0.8,21,False,x0>1 & x3>1,"[0.71, 0.86]",0.74307809604744,1.0,2.1674858383462174,False,602
null,split_search_naive,0.8,21,False,x0>1 & x2>1,"[0.57, 0.71]",0.16887522715801892,5.969136114022851,0.5009342889374271,False,560
null,split_search_certified,0.8,21,False,x0>1 & x2>1,"[0.57, 0.71]",0.16887522715801892,5.969136114022851,0.5009342889374271,False,560
planted,same_data_search,0.8,21,True,x0>2,"[0.14, 0.29]",0.692591534681572,4.222269593933796,1.054831981543739,False,602
planted,full_family_simultaneous,0.8,21,True,x2<0.5,"[0.00, 0.14]",0.4774975313340098,64.62823509396918,0.2696156643314703,False,602
planted,split_search_naive,0.8,21,True,x5>0,"[0.00, 0.14]",0.2695321799631925,7.258140569808715,0.45428020568690824,False,560
planted,split_search_certified,0.8,21,False,x5>0,"[0.00, 0.14]",0.2695321799631925,7.258140569808715,0.45428020568690824,False,560
null,same_data_search,0.8,22,True,x0>1 & x1>1,"[0.43, 0.57]",0.5538619788520847,1.0,2.166909535683186,False,599
null,full_family_simultaneous,0.8,22,False,x0>1 & x1>1,"[0.43, 0.57]",0.5538619788520847,1.0,2.166909535683186,False,599
null,split_search_naive,0.8,22,False,none,none,,,,False,604
null,split_search_certified,0.8,22,False,none,none,,,,False,604
planted,same_data_search,0.8,22,True,x0>2,"[0.14, 0.29]",0.806257835250171,2.0094423438804805,1.528632208180152,False,599
planted,full_family_simultaneous,0.8,22,False,x0>2,"[0.14, 0.29]",0.806257835250171,2.0094423438804805,1.528632208180152,False,599
planted,split_search_naive,0.8,22,True,x0>2,"[0.14, 0.29]",0.813230074702789,1.0,1.2238734153404083,False,604
planted,split_search_certified,0.8,22,False,x0>2,"[0.14, 0.29]",0.813230074702789,1.0,1.2238734153404083,False,604
null,same_data_search,0.8,23,True,x2>2,"[0.57, 0.71]",0.6723288283084309,1.0,2.16218666103916,False,575
null,full_family_simultaneous,0.8,23,False,x2>2,"[0.57, 0.71]",0.6723288283084309,1.0,2.16218666103916,False,575
null,split_search_naive,0.8,23,False,x5>1,"[0.86, 1.00]",0.07262971939520768,3.491561582500083,0.6549779024791158,False,559
null,split_search_certified,0.8,23,False,x5>1,"[0.86, 1.00]",0.07262971939520768,3.491561582500083,0.6549779024791158,False,559
planted,same_data_search,0.8,23,True,x1>2,"[0.00, 0.14]",0.9010796383969677,3.4226125926360256,1.1687303223519847,False,575
planted,full_family_simultaneous,0.8,23,True,x0>1,"[0.00, 0.14]",0.5947518789970975,30.304162098337756,0.3927733777691055,False,575
