group,bin,weighted_gap,abs_weighted_gap,target_gap,abs_target_gap,local_ess,estimated_target_mass,source_n,target_n,ci_half_width,certified_excess,naive_alarm,certified_alarm,matches_target_direction
Male & hours>45,"[0.33, 0.50]",0.020263350658803015,0.020263350658803015,0.02161564573901972,0.02161564573901972,160.56905423478514,0.04465925520720945,216,450,0.15756161215751147,0.0,False,False,True
workclass=Private,"[0.50, 0.67]",-0.019432610472573,0.019432610472573,0.01108224874198839,0.01108224874198839,187.20487898865792,0.05970836391642344,351,666,0.14592266709992002,0.0,False,False,False
hours>35,"[0.50, 0.67]",-0.017780611137638454,0.017780611137638454,0.0019115481197878332,0.0019115481197878332,289.72807120467274,0.08650360064844838,487,1008,0.11729676993942204,0.0,False,False,False
age<=40,"[0.50, 0.67]",-0.017562471727125047,0.017562471727125047,0.023208706752719067,0.023208706752719067,203.64212396566887,0.02980942964486323,245,388,0.13990960532625685,0.0,False,False,False
education-num>=13,"[0.00, 0.17]",0.01617420470771926,0.01617420470771926,0.004746255962475361,0.004746255962475361,487.61910137341755,0.06250548299366292,673,817,0.09041510388051364,0.0,False,False,True
hours>55,"[0.17, 0.33]",-0.013521076601661654,0.013521076601661654,0.025100850572584252,0.025100850572584252,71.26903155951123,0.022660526748649875,90,225,0.2364998729627311,0.0,False,False,False
education=HS-grad,"[0.33, 0.50]",-0.013091030140040474,0.013091030140040474,-0.012550783596369635,0.012550783596369635,197.75822750541673,0.04242247438290507,250,437,0.14197571354982988,0.0,False,False,True
age>50 & hours>45,"[0.17, 0.33]",0.01267901367120854,0.01267901367120854,-0.005045510303005563,0.005045510303005563,42.563455086785055,0.014630075855550508,48,120,0.3060292255350576,0.0,False,False,False
age>40,"[0.33, 0.50]",0.012552544224502098,0.012552544224502098,0.024388793435574676,0.024388793435574676,314.0598201416723,0.07857924642055254,394,844,0.11266140205900343,0.0,False,False,True
age<=60,"[0.50, 0.67]",0.0121469967139136,0.0121469967139136,0.01605503745779418,0.01605503745779418,380.7619820533066,0.07906090415744667,493,973,0.10231859102297744,0.0,False,False,True
Male & education-num>=13,"[0.67, 0.83]",-0.011557000291967214,0.011557000291967214,-0.024083790838657405,0.024083790838657405,255.84945770071442,0.06410509229728442,311,694,0.12482141172088189,0.0,False,False,True
hours>45,"[0.33, 0.50]",0.01154671729133155,0.01154671729133155,0.01511139500883399,0.01511139500883399,175.64909625639038,0.048996272399157104,237,469,0.150646269193578,0.0,False,False,True
education=Bachelors,"[0.67, 0.83]",0.011161417610492544,0.011161417610492544,-0.005594327728363599,0.005594327728363599,155.79629861951983,0.0393659307346354,187,437,0.15995682408855702,0.0,False,False,False
age>50,"[0.17, 0.33]",-0.010930582034787384,0.010930582034787384,0.0065457839685053075,0.0065457839685053075,206.98583658433066,0.051923805428476424,239,626,0.13877493289274717,0.0,False,False,False
race=Black,"[0.00, 0.17]",-0.010726537812534626,0.010726537812534626,-0.009262785322811912,0.009262785322811912,472.6285248697299,0.053541499414244964,682,720,0.09183777976024794,0.0,False,False,True
age>30,"[0.00, 0.17]",0.010308191730279704,0.010308191730279704,0.014696421269742816,0.014696421269742816,1963.8696686246642,0.30001921456649083,2628,3997,0.04505313423731661,0.0,False,False,True
